"Source","Your finding about AI features","Your finding about Human performance degradation types","Your finding about Causal links between them","Excerpt","Justification","Validation (y/n)"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Core driver of autonomous systems and cross-domain innovation","","","Artificial Intelligence (AI) is at the core of recent scientific and industrial advances, such as Autonomous Driving (AD) [61,103,160] and Unmanned Aerial Vehicles (UAVs) [182,268]. AI technology is a cross-domain innovation driver for numerous novel application use cases [140]","This excerpt directly mentions AI's role in enabling autonomous systems (Autonomous Driving and UAVs) and its function as an innovation driver across domains, which are key AI capabilities distinguishing it from conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: AI-specific traits enabling next-generation autonomous safety-critical systems","","","to deal with AI-specific traits. These solutions are also of interest for multiple transportation domains such as avionics[ 19,109], railway[ 19,20,200,208] and automotive[ 233,256], and industrial domain applications such as robotics[ 259] and driverless industrial trucks[ 134,141]. In all of these domains, AI technologies can be used to develop both traditional functional safety systems, as well as next-generation autonomous safety-critical systems[ 33,137,147,280].","This excerpt directly references 'AI-specific traits' and describes AI technologies' capability to develop 'next-generation autonomous safety-critical systems,' which aligns with the research focus on novel AI characteristics in high-risk industries.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: opacity | Feature: Black-box nature and explainability limitations","","","The most notorious include the “black box” nature of AI solutions causing limitations regarding their explainability and analyzability [3,51,104,235,268,282], and compliance limitations concerning software development lifecycle phases, such as specification correctness and completeness, design, testing, verification, and validation [107,164,190,194,200,207,219,268,278].","This directly addresses the opacity/explainability characteristic from the research focus, as it mentions the 'black box' nature causing limitations in explainability and analyzability, which are key features of novel AI systems versus conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: context_adaptive | Feature: runtime learning/adaptation","","","runtime learning/adaptation of AI-based safety-critical systems (runtime) in Section 5,","This directly mentions 'runtime learning/adaptation' as a characteristic of AI-based safety-critical systems, which aligns with the context-aware/adaptive behavior priority (dynamic environment response, real-time learning).","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Multi-dimensional AI trustworthiness","","","AI trustworthiness spans several dimensions, such as engineering, ethics and legal, and this survey focuses on the safety engineering dimension.","This describes AI trustworthiness as spanning multiple dimensions (engineering, ethics, legal), which is a characteristic of complex AI systems that goes beyond the technical focus of conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Challenge of integrating AI with safety standards","","","However, reconciling both cutting-edge and state-of-the-art AI technology with safety engineering processes and safety standards is an open challenge that must be addressed before AI can be fully embraced in safety-critical systems.","This mentions the challenge of reconciling AI technology with safety processes, implying AI's advanced and potentially non-traditional nature that differs from conventional automation which is typically designed to comply with established standards.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: AI assistance to human engineers","","","AI can also support and assist human safety engineers in developing safety-critical systems.","This highlights AI's capability to assist human engineers, which is a feature of advanced AI systems compared to traditional automation that typically operates independently or with limited human interaction.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: AI-enabled autonomous systems with ML learning","","","Artificial Intelligence (AI) can enable the development of next-generation autonomous safety-critical systems in which Machine Learning (ML) algorithms learn optimized and safe solutions.","This directly describes AI's role in enabling autonomous systems where machine learning algorithms learn solutions, which is a core AI capability distinct from conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: AI-based systems from traditional to autonomous","","","Focusing on the industrial and transportation domains, this survey structures and analyzes challenges, techniques, and methods for developing AI-based safety-critical systems, from traditional functional safety systems to autonomous systems.","This explicitly mentions AI-based safety-critical systems and the transition from traditional to autonomous systems, indicating AI's role in enabling more advanced, autonomous capabilities beyond conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Multiple AI Types and Safety Adaptations","","","These complexities are compounded by a significant fragmentation of the research contributions targeting the use of AI for developing autonomous systems with [ 267] and without specific safety considerations [ 190], different safety AI challenges [ 13,110,147], multiple use cases [19,140], multiple types of AI [ 87], different lifecycle phases (e.g., design [ 208,276], test[53,114,116],verification[ 5,77,117]),genericAIsolutions(e.g.,reinforcementlearning[ 16]) and safety adaptations (e.g., safe reinforcement learning [ 94]), with references to multiple existing[ 120,131]and noveldomain-specificsafetystandards[ 58,133,215,267,275,280,280].","This excerpt directly mentions 'multiple types of AI' and specific AI capabilities such as 'reinforcement learning' and 'safe reinforcement learning', which are novel AI characteristics compared to conventional automation, highlighting data-driven and adaptive features.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Online inference and actionable outputs","","","When the learned ML solution executes on an embedded system (electronics/software implementation with model parameters), it performs inferences in which the ML solution provides online actionable outputs based on the inputs provided.","This describes AI's capability to process inputs and generate outputs in real-time, which is a key feature distinguishing AI systems from static automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Multiple learning approaches including trial-and-error","","","The learning process can be, for instance, supervised (using labeled data), unsupervised (not using labelled data), semisupervised (using both labeled and unlabeled data) and reinforcement learning (“a machine learning agent(s) learns through an iterative process by trial and error”) [16,94,138].","This shows AI's capability for various learning methods, particularly reinforcement learning which involves adaptive behavior through trial and error.","y"
